25,1542,2,7,21,32,1,Worn Shortsword
35,472,2,10,17,30,1,Bent Staff
36,5194,2,4,21,32,1,Worn Mace
37,14029,2,0,21,32,1,Worn Axe
38,9891,4,0,4,0,1,Recruit's Shirt
39,9892,4,1,7,0,0,Recruit's Pants
40,10141,4,0,8,0,1,Recruit's Boots
43,9938,4,0,8,0,1,Squire's Boots
44,9937,4,1,7,0,0,Squire's Pants
45,3265,4,0,4,0,1,Squire's Shirt
47,9915,4,0,8,0,1,Footpad's Shoes
48,9913,4,1,7,0,0,Footpad's Pants
49,9906,4,0,4,0,1,Footpad's Shirt
51,9946,4,0,8,0,1,Neophyte's Boots
52,9945,4,1,7,0,0,Neophyte's Pants
53,9944,4,0,4,0,1,Neophyte's Shirt
55,9929,4,0,8,0,1,Apprentice's Boots
56,12647,4,1,20,0,0,Apprentice's Robe
57,12645,4,1,20,0,0,Acolyte's Robe
59,3261,4,0,8,0,1,Acolyte's Shoes
60,16891,4,2,5,0,1,Layered Tunic
61,16953,4,2,7,0,1,Dwarven Leather Pants
79,16847,4,1,7,0,1,Dwarven Cloth Britches
80,16854,4,1,8,0,1,Soft Fur-lined Shoes
85,16883,4,2,5,0,1,Dirty Leather Vest
100,372,4,1,7,0,0,Deprecated Dwarven Squire's Pants
120,10006,4,1,7,0,0,Thug Pants
121,10008,4,0,8,0,1,Thug Boots
127,9996,4,0,4,0,1,Trapper's Shirt
128,396,4,1,7,0,0,Deprecated Tauren Trapper's Pants
129,9977,4,0,8,0,1,Rugged Trapper's Boots
139,9988,4,1,7,0,0,Brawler's Pants
140,9992,4,0,8,0,1,Brawler's Boots
147,9975,4,1,7,0,0,Rugged Trapper's Pants
148,9976,4,0,4,0,1,Rugged Trapper's Shirt
153,10050,4,2,7,0,0,Primitive Kilt
154,10058,4,0,4,0,1,Primitive Mantle
192,5279,2,14,21,0,6,Martin Thunder
193,16579,4,1,5,0,1,Tattered Cloth Vest
194,16580,4,1,7,0,1,Tattered Cloth Pants
195,16582,4,1,8,0,1,Tattered Cloth Boots
200,16777,4,1,5,0,1,Thick Cloth Vest
201,16778,4,1,7,0,1,Thick Cloth Pants
202,16780,4,1,8,0,1,Thick Cloth Shoes
203,16779,4,1,10,0,1,Thick Cloth Gloves
209,17140,4,2,7,0,1,Dirty Leather Pants
210,14444,4,2,8,0,1,Dirty Leather Boots
236,14278,4,2,5,0,1,Cured Leather Armor
237,14476,4,2,7,0,1,Cured Leather Pants
238,14474,4,2,8,0,1,Cured Leather Boots
239,14475,4,2,10,0,1,Cured Leather Gloves
285,16101,4,3,5,0,1,Scalemail Vest
286,10400,4,3,7,0,1,Scalemail Pants
287,12745,4,3,8,0,1,Scalemail Boots
647,20190,2,8,17,26,4,Destiny
710,16936,4,1,9,0,1,Bracers of the People's Militia
711,16581,4,1,10,0,1,Tattered Cloth Gloves
714,14445,4,2,10,0,1,Dirty Leather Gloves
718,6986,4,3,10,0,1,Scalemail Gloves
719,16970,4,1,10,0,1,Rabbit Handler Gloves
720,2368,4,2,10,0,3,Brawler Gloves
727,26577,2,7,13,32,2,Notched Shortsword
753,20094,2,7,13,32,2,Dragonmaw Shortsword
754,20218,2,7,13,32,3,Shortsword of Vengeance
756,6264,2,1,17,26,2,Tunnel Pick
763,17007,4,2,9,0,1,Ice-covered Bracers
766,19621,2,4,21,32,1,Flanged Mace
767,20443,2,10,17,30,1,Long Bo Staff
768,5012,2,0,21,32,1,Lumberjack Axe
776,6452,2,15,13,32,3,Vendetta
778,6259,2,0,21,32,1,Kobold Excavation Pick
781,19644,2,4,21,32,1,Stone Gnoll Hammer
789,19699,2,4,21,32,2,Stout Battlehammer
790,19401,2,0,21,32,2,Forester's Axe
791,20334,2,10,17,30,3,Gnarled Ash Staff
792,16855,4,1,8,0,1,Knitted Sandals
793,14449,4,1,10,0,1,Knitted Gloves
794,14450,4,1,7,0,1,Knitted Pants
795,14154,4,1,5,0,1,Knitted Tunic
796,22973,4,2,8,0,1,Rough Leather Boots
797,17068,4,2,10,0,1,Rough Leather Gloves
798,22972,4,2,7,0,1,Rough Leather Pants
799,2106,4,2,5,0,1,Rough Leather Vest
809,20033,2,7,21,32,4,Bloodrazor
810,19726,2,4,21,32,4,Hammer of the Northern Wind
811,19137,2,0,21,32,4,Axe of the Deep Woods
812,20257,2,10,17,30,4,Glowing Brightwood Staff
816,6472,2,15,13,32,2,Small Hand Blade
820,6470,2,15,13,32,2,Slicer Blade
821,17102,4,2,5,0,2,Riverpaw Leather Vest
826,19271,2,0,21,32,2,Brutish Riverpaw Axe
827,3498,2,4,21,32,2,Wicked Blackjack
832,6847,4,3,6,0,2,Silver Defias Belt
837,14466,4,1,5,0,1,Heavy Weave Armor
838,14468,4,1,7,0,1,Heavy Weave Pants
839,14467,4,1,10,0,1,Heavy Weave Gloves
840,16821,4,1,8,0,1,Heavy Weave Shoes
843,14470,4,2,8,0,1,Tanned Leather Boots
844,2101,4,2,10,0,1,Tanned Leather Gloves
845,9640,4,2,7,0,1,Tanned Leather Pants
846,14472,4,2,5,0,1,Tanned Leather Jerkin
847,1019,4,3,5,0,1,Chainmail Armor
848,697,4,3,7,0,1,Chainmail Pants
849,6869,4,3,8,0,1,Chainmail Boots
850,6871,4,3,10,0,1,Chainmail Gloves
851,22077,2,7,13,32,1,Cutlass
852,8287,2,4,13,32,1,Mace
853,22102,2,0,13,32,1,Hatchet
854,22147,2,10,17,30,1,Quarter Staff
859,9880,4,0,4,0,1,Fine Cloth Shirt
860,3443,4,1,8,0,1,Cavalier's Boots
863,19213,2,0,13,32,2,Gloom Reaper
864,26579,2,7,13,32,2,Knightly Longsword
865,5212,2,4,13,32,2,Leaden Mace
866,20357,2,10,17,30,2,Monk's Staff
867,17180,4,2,10,0,4,Gloves of Holy Might
868,19713,2,4,21,32,4,Ardent Custodian
869,5163,2,7,21,32,4,Dazzling Longsword
870,33458,2,1,17,26,4,Fiery War Axe
871,19235,2,0,13,32,4,Flurry Axe
872,19242,2,1,17,26,2,Rockslicer
873,20298,2,10,17,30,4,Staff of Jordan
880,20382,2,10,17,30,2,Staff of Horrors
885,14036,2,0,21,32,2,Black Metal Axe
886,20093,2,7,21,32,2,Black Metal Shortsword
888,17182,4,2,10,0,3,Naga Battle Gloves
890,20386,2,10,17,30,3,Twisted Chanter's Staff
892,16950,4,1,10,0,2,Gnoll Casting Gloves
897,17011,4,2,9,0,2,Madwolf Bracers
899,6459,2,15,13,32,2,Venom Web Fang
911,28628,2,5,17,26,2,Ironwood Treebranch
913,20170,2,8,17,26,2,Huge Ogre Sword
